id,premise,hypothesis,label
8,.,", but because of its release being withheld, there was speculation circulating that it may be the first single of his third album, ""Lasers"".",1
14,I would be pleased to respond to any questions that you or members of the Select Committee may have at this time.,These questions are in regard to cafeteria menu options published for the next week.,1
43,"Yes it is the only way. Then aloud he said abruptly: ""You are an American?""","He hadn't said anything else before he asked ""You are an American?""",1
59,"Its Romanesque portal is a 19th-century restoration, but the Roman and Byzantine columns, and Roman mosaic floor, are authentic.",The building features much Greek influence.,0
86,"It was on one of its highest peaks, Mount Sinai (Gebel Musa), that Moses received the word of God written down as the Ten Commandments.",The 10 Commandments are used across multiple religions.,1
89,"We advertised to receive information, not to give it, said Tuppence severely.",We wanted to gain new customers with advertising.,1
187,and uh i don't even have an American Express to use for business so or i use a Visa all the time,"I prefer visa, it's the best card to use. ",1
201,i mean i would i'd be afraid to be in school i mean be teaching or even a being a student and think what's what's it gonna be like for my my youngest and my oldest son when he goes to school what what's gonna happen i mean i i'm afraid for him to go but on the other hand you can't hold them back,We've got to come up with some sort of solution.,1
228,Census Monitoring Board to oversee the 2000 decennial census.,The 2000 census is the most important and provides valuable information.,0
239,"Then there are the Musee de l'Homme in the Palais de Chaillot (Trocad??ro), devoted to man's prehistory; the Musee de Cluny (6 Place Paul-Painlev??), for the great Lady with the Unicorn tapestry and also for sculpture of Paris's Roman and Gothic past; Musee Guimet (6 Place d'I??na), a superb collection of Indian, Jap?­a?­nese, and Chinese art; Musee de l'Affiche (18 Rue de Paradis), for advertising posters of the past and present.",Musee de l'Affiche houses a selection of Chinese art.,0
292,well of course there's this other one that i've i've talked to fairly regularly in Dallas um same thing her husband signed up for it and she's the one that does it,I talk to her on the phone about what she does.,1
300,"Be aware that name brands, including electronics, are sometimes fakes, glass may be sold as jade, and that antique you bought may have been made last night.",All of the name brands are legitimate and real. ,0
318,"The collecting entity receives the cash and then transfers it to the General Fund, trust fund, or special fund on whose behalf it was collected.",The general fund contains millions of dollars.,1
360,yeah i used to until it i got so allergic to it i don't know if it's all well i went and had some tests run and just about all the kinds i was allergic to but it's not as bad here um like Saint Augustine i think is what we have and it's not as bad as it was when we were out in the country,I developed an allergy when I was 20.,1
384,Was I to report who came or went? ,Was I wrong to discuss their coming or leaving?,1
386,Much of our town's prosperity comes from these mines.,The mines brought a million dollars a month to our town.,1
392,"As previously noted, USDA maintains a link to this rule on its home page, and the organic standards site contains the text of the proposed rule, its regulatory impact statement, and instructions on how to submit comments and search the comments that had already been submitted.","RSPCA has a link on it's webpage for information on how to submit comments, search comments and more.",0
393,Eve's Apple turns out to be a sturdier book than it seems.,Eve's Apple is an overrated book.,0
414,The publication quotes a film critic who says at the post-screening interview she giggled uncontrollably ...,The publication quoted the only critic who found the movie funny.,1
422,"Wander, at your own risk, among the walls, crumbling turrets, and caves, and look out toward the surrounding islands of Mykonos and Andros.",The crumbling architecture and aesthetic is risky and appreciated. ,1
